Source	Value
9/21/2018 10:00:31 AM	9.77
9/21/2018 10:00:32 AM	8.68
9/21/2018 11:00:12 AM	10.12
9/21/2018 11:00:43 AM	9.56
9/21/2018 12:00:52 PM	13.50
9/21/2018 12:00:56 PM	6.06
9/21/2018 1:00:05 PM	14.79
9/21/2018 1:00:17 PM	15.11
9/21/2018 2:00:04 PM	9.78
9/21/2018 2:00:18 PM	15.69
9/21/2018 3:00:15 PM	9.59
9/21/2018 3:00:30 PM	7.82
9/21/2018 4:00:24 PM	6.06
9/21/2018 4:00:41 PM	6.30
9/21/2018 5:00:08 PM	14.80
9/21/2018 5:00:49 PM	8.14
9/21/2018 6:00:07 PM	5.62
9/21/2018 6:00:27 PM	15.71
9/21/2018 7:00:05 PM	5.39
9/21/2018 7:00:18 PM	7.84
9/21/2018 8:00:09 PM	6.32
9/21/2018 8:00:12 PM	7.16
9/21/2018 9:00:19 PM	22.10
9/21/2018 9:00:43 PM	6.90
9/21/2018 10:00:11 PM	5.61
9/21/2018 10:00:27 PM	3.39
9/21/2018 11:00:04 PM	3.46
9/21/2018 11:00:25 PM	4.86
9/22/2018 12:00:12 AM	4.69
9/22/2018 12:00:26 AM	5.23
9/22/2018 1:00:15 AM	9.53
9/22/2018 1:00:21 AM	9.81
9/22/2018 2:00:00 AM	3.42
9/22/2018 2:00:30 AM	20.58
